Item,Quantity,Component,Description,Specifications,Supplier Part Number (Example),Notes
1,1,ESP32 Dev Board,WiFi/Bluetooth Microcontroller,ESP32-WROOM-32,ESP32-DevKitC-V4,Alternative: NodeMCU-32S
2,1,AD9833 Module,DDS Signal Generator,0-12.5MHz output,AD9833 Breakout Board,Ensure 25MHz crystal version
3,1,OLED Display,128x64 I2C Display,0.96" SSD1306,SSD1306 128x64 I2C,White or Blue on black
4,1,Rotary Encoder,Input Control Device,EC11 with switch,EC11K1524403,With push-button function
5,1,Breadboard,Prototyping Board,830 points,MB-102,Or similar size
6,1,Jumper Wire Kit,Connection Wires,40pcs M/M,PRT-12795,20cm length
7,1,Logic Analyzer,Debugging Tool,8-channel 24MHz,Saleae Logic 8,Optional for development
8,1,USB Cable,Power/Programming,Micro USB,PRT-13231,Type A to Micro B
9,2,Ceramic Capacitor,Decoupling Capacitor,100nF 50V,CC0805KKX7R7BB104,0805 package
10,1,Electrolytic Capacitor,Power Filtering,22μF 16V,EEE-FK1C220P,Radial lead
11,1,Voltage Regulator,3.3V Regulator,LM1117-3.3,LM1117MPX-3.3,TO-252 package
12,1,Op-Amp IC,Output Buffer,LM358,LM358P,DIP-8 package
13,2,Resistor,Current Limiting,10Ω 1/4W,CFR-25JB-10R,0805 package
14,1,Resistor,Filter Resistor,100Ω 1/4W,CFR-25JB-100R,0805 package
15,1,Ferrite Bead,Noise Suppression,600Ω @ 100MHz,BLM18AG601SN1,0805 package
16,1,Potentiometer,Output Level,10kΩ Linear,B10K,PCB mount
17,1,Header Pin,Board Connections,40-pin Male,PRT-12693,2.54mm pitch
18,1,Enclosure,Project Case,120x80x50mm,Hammond 1591B,Optional
19,1,Power Jack,DC Input,5.5x2.1mm,PRT-10811,Panel mount
20,1,PCB,Main Board,2-layer 100x80mm,Custom Design,Optional for final build
